date_posted,company,job_type,expected_start_date,salary_range,job_description
2026-01-22,CVS Health,,,"$157,969 - $157,969","We're building a world of health around every individual - shaping a more connected, convenient and compassionate health experience. At CVS Health®, you'll be surrounded by passionate colleagues who care deeply, innovate with purpose, hold ourselves accountable and prioritize safety and quality in everything we do. Join us and be part of something bigger - helping to simplify health care one person, one family and one community at a time. Position Summary If you're eager to make a real impact i…"
2024-08-07,SourcePro Search,,,"$145,419 - $145,419","We are seeking a highly skilled Python & C++ Developer to augment our testing tools and automated testing platform for our esteemed trading firm client. These indispensable tools play a pivotal role in evaluating the robustness of our client's state-of-the-art exchange technology ecosystem. The ideal candidate's key responsibilities will be to enhance our automated testing tools by developing new features, developing interfaces to support connectivity options and to update the product to suppor…"
2026-01-02,Infosys,,full_time,"$109,426 - $109,426","Infosys is seeking a Python Lead Developer . In this role, y ou will enable digital transformation for our clients in a global delivery model, research on technologies independently, recommend appropriate solutions and contribute to technology-specific best practices and standards. Y ou will be responsible to interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle. You will be part of a learning culture, where teamwork …"
2025-09-05,SMBC,,,"$151,703 - $151,703","SMBC Group is a top-tier global financial group. Headquartered in Tokyo and with a 400-year history, SMBC Group offers a diverse range of financial services, including banking, leasing, securities, credit cards, and consumer finance. The Group has more than 130 offices and 80,000 employees worldwide in nearly 40 countries. Sumitomo Mitsui Financial Group, Inc. (SMFG) is the holding company of SMBC Group, which is one of the three largest banking groups in Japan. SMFG's shares trade on the Tokyo…"
2025-11-12,Polar IT Services,,,"$147,397 - $147,397","Hello Folks, Please find the below requirement. Jon Title : AWS Python Lead Developer (Its a backfill role) Location : NYC Duration : Long - Term Mode Of Work: 3days Hybrid Note: Looking for 12years profiles and who are locals to NY/NJ only Visa: USC, GC, GC EAD, H4 EAD only Note this requirement is for full stack engineer – React/Python/Postgres Responsibilities: Contribute to the design, development, and deployment of the firm’s central data marketplace platform, ensuring scalability, perform…"
2026-01-19,Softcom Systems Inc,,,"$112,681 - $112,681","Job Description Job Description Role: Backend Developer Location: New York, NY Job Type: Fulltime - Onsite (5 days/week) Requirements: 5 years of hands-on backend development experience working on complex, production-grade systems. Strong proficiency in Python (mandatory). Candidates without deep, real-world Python experience will not be considered. Demonstrated experience building backend-heavy, product-driven applications (not limited to internal tools, pipelines, or reporting systems). Prove…"
2025-04-28,JPMorgan Chase & Co.,,full_time,"$152,000 - $215,000","Description We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible. As a Lead Software Engineer at JPMorgan Chase within the Infrastructure Platforms, you are an integral part of an agile team that works to enhance, build, and deliver trusted market-leading technology products in a secure, stable, and scalable way. As a core technical contributor, you are responsible for conducting critical technology solutions across multiple tech…"
2025-11-26,Capgemini,,,"$158,009 - $158,009","Python Risk Model Developer (SQL & Unix) Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you'd like, where you'll be supported and inspired by?a collaborative community of colleagues around the world, and where you'll be able to reimagine what's possible. Join us and help the world's leading organizations?unlock the value of technology and build a more sustainable, more inclusive world. Job Location: NY Works in the area of Software Engine…"
2025-07-04,Tower Research Capital,,,"$169,019 - $169,019",Tower Research Capital is a leading quantitative trading firm founded in 1998. Tower has built its business on a high-performance platform and independent trading teams. We have a 25 year track record of innovation and a reputation for discovering unique market opportunities. Tower is home to some of the world’s best systematic trading and engineering talent. We empower portfolio managers to build their teams and strategies independently while providing the economies of scale that come from a l…
2024-08-08,Quanta Search,,,"$176,203 - $176,203","Our client (a world leading hedge fund) seeks a Python Software Developer. Please read requirements carefully before applying Responsibilities: - conceptualizing and constructing advanced analytical instruments and platforms - streamlining end-to-end trading processes - improving the portfolio optimization system - enhancing the business's capacity for expansion Requirements: - Educational background in a technical discipline (Bachelor's, Master's, or Doctorate) from a prestigious institution. …"
